Location_Info,Latitude,Longitude,Date,WL(mbgl)
Madhya Pradesh Neemuch Jawad Lalpura,24.61361,74.92639,31-08-15,4.4
Madhya Pradesh Neemuch Jawad Morban,24.62222,75.00000,31-08-15,2.6
Madhya Pradesh Neemuch Jawad Patan,24.90722,75.21111,31-08-15,2.2
Madhya Pradesh Neemuch Jawad Pipalikheda,24.92056,75.23056,31-08-15,6.4
Madhya Pradesh Neemuch Jawad Ratangarh,24.82000,75.11667,31-08-15,5.0
Madhya Pradesh Neemuch Jawad Ratangarh,24.81056,75.10889,31-08-15,7.0
Madhya Pradesh Neemuch Jawad Singoli,24.96778,75.28806,31-08-15,8.7
Madhya Pradesh Neemuch Manasa Barlai,24.42417,75.32000,31-08-15,3.2
Madhya Pradesh Neemuch Manasa Besla,24.55333,75.45000,31-08-15,2.4
Madhya Pradesh Neemuch Manasa Besla,24.55417,75.45667,31-08-15,1.7
Madhya Pradesh Neemuch Manasa Bhadana,24.56111,75.36944,31-08-15,4.9
Madhya Pradesh Neemuch Manasa Chachor,24.37222,75.35722,31-08-15,5.4
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Madhya Pradesh Neemuch Manasa Gota Pipliya,24.48000,75.22333,31-08-15,6.2
Madhya Pradesh Neemuch Manasa Jamalpura,24.48667,75.46417,31-08-15,2.9
Madhya Pradesh Neemuch Manasa Kukreshwar,24.48167,75.26167,31-08-15,5.1
Madhya Pradesh Neemuch Manasa Kukreshwar,24.48000,75.26806,31-08-15,4.0
Madhya Pradesh Neemuch Manasa Kundaliya,24.46667,75.33083,31-08-15,1.6
Madhya Pradesh Neemuch Manasa Manasa,24.47667,75.14500,31-08-15,3.2
Madhya Pradesh Neemuch Manasa Manasa,24.47056,75.14389,31-08-15,4.1
Madhya Pradesh Neemuch Manasa Rampura,24.46667,75.43333,31-08-15,1.2
Madhya Pradesh Neemuch Manasa Rampura,24.46194,75.44111,31-08-15,2.6
Madhya Pradesh Neemuch Neemuch Girdola,24.46222,74.93222,31-08-15,2.4
Madhya Pradesh Neemuch Neemuch Kacholi,24.36250,74.94139,31-08-15,1.8
Madhya Pradesh Neemuch Neemuch Nayagaon,24.55167,74.77000,31-08-15,0.3
Madhya Pradesh Neemuch Neemuch Nayagaon,24.56111,74.77639,31-08-15,0.6
Madhya Pradesh Neemuch Neemuch Neemuch,24.45361,74.87389,31-08-15,2.9
Madhya Pradesh Neemuch Neemuch Neemuch Kanawati,24.48667,74.85667,31-08-15,3.1
Madhya Pradesh Neemuch Neemuch Semali Chandrawat,24.54806,74.93611,31-08-15,1.6
Madhya Pradesh Niwari Niwari Newari,25.34583,78.80000,31-08-15,11.1
Madhya Pradesh Niwari Niwari Niwari,25.35250,78.80556,31-08-15,9.4
Madhya Pradesh Niwari Niwari Orchha,25.35139,78.64528,31-08-15,20.6
Madhya Pradesh Niwari Niwari Orchha,25.34944,78.64111,31-08-15,8.2
Madhya Pradesh Niwari Prithvipur Beer Sagar,25.19639,78.69611,31-08-15,5.0
Madhya Pradesh Niwari Prithvipur Birorakhet,25.11500,78.79167,31-08-15,1.6
Madhya Pradesh Niwari Prithvipur Nengawan,25.25472,78.67333,31-08-15,4.2
Madhya Pradesh Niwari Prithvipur Prithipur,25.20611,78.75389,31-08-15,4.7
Madhya Pradesh Pandhurna Pandhurna Bangaon,21.57250,78.44722,31-08-15,3.0
Madhya Pradesh Pandhurna Pandhurna Borgaon,21.55944,78.81611,31-08-15,3.2
Madhya Pradesh Pandhurna Pandhurna Chinchkheda,21.64028,78.47944,31-08-15,8.1
Madhya Pradesh Pandhurna Pandhurna Chincholiwad,21.50000,78.69306,31-08-15,3.6
Madhya Pradesh Pandhurna Pandhurna Mohi,21.65806,78.44083,31-08-15,3.6
Madhya Pradesh Pandhurna Pandhurna Pandurna,21.58944,78.51833,31-08-15,3.5
Madhya Pradesh Pandhurna Pandhurna Piplanarayanwar,21.58778,78.73139,31-08-15,8.0
